ablation,metric,model,seed,split,task,value
none,final_answer_accuracy,direct,0,iid,parity,0.6676666666666666
zero_attention_output,final_answer_accuracy,direct,0,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,direct,0,iid,parity,0.4806666666666667
zero_positional_encoding,final_answer_accuracy,direct,0,iid,parity,0.5573333333333333
none,final_answer_accuracy,cot_true,0,iid,parity,0.9993333333333333
zero_attention_output,final_answer_accuracy,cot_true,0,iid,parity,0.5026666666666667
zero_mlp_output,final_answer_accuracy,cot_true,0,iid,parity,0.655
zero_positional_encoding,final_answer_accuracy,cot_true,0,iid,parity,0.6113333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,0,iid,parity,0.49733333333333335
none,final_answer_accuracy,cot_pad,0,iid,parity,0.5493333333333333
zero_attention_output,final_answer_accuracy,cot_pad,0,iid,parity,0.5073333333333333
zero_mlp_output,final_answer_accuracy,cot_pad,0,iid,parity,0.5306666666666666
zero_positional_encoding,final_answer_accuracy,cot_pad,0,iid,parity,0.5193333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_pad,0,iid,parity,0.55
none,final_answer_accuracy,direct,1,iid,parity,0.649
zero_attention_output,final_answer_accuracy,direct,1,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,direct,1,iid,parity,0.5036666666666667
zero_positional_encoding,final_answer_accuracy,direct,1,iid,parity,0.5163333333333333
none,final_answer_accuracy,cot_true,1,iid,parity,0.9913333333333333
zero_attention_output,final_answer_accuracy,cot_true,1,iid,parity,0.49366666666666664
zero_mlp_output,final_answer_accuracy,cot_true,1,iid,parity,0.586
zero_positional_encoding,final_answer_accuracy,cot_true,1,iid,parity,0.5383333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,1,iid,parity,0.513
none,final_answer_accuracy,cot_pad,1,iid,parity,0.612
zero_attention_output,final_answer_accuracy,cot_pad,1,iid,parity,0.49533333333333335
zero_mlp_output,final_answer_accuracy,cot_pad,1,iid,parity,0.5143333333333333
